,romance,non_romance
bluster,0.0,0.0008151061234837633
board,0.00356436618780166,0.0023198188806862444
boast,0.0011881220626005532,0.0005799547201715611
boat,0.0016698641031585818,0.0
bob,0.00356436618780166,0.0011599094403431222
boil,0.004752488250402213,0.0011599094403431222
bolt,0.0,0.0024453183704512896
bomb,0.0,0.0016302122469675265
boost,0.0,0.0008151061234837633
boot,0.0,0.0008151061234837633
border,0.0011881220626005532,0.0011599094403431222
bore,0.004752488250402213,0.004059683041200928
borrow,0.0,0.0024453183704512896
bother,0.005940610313002766,0.009859230242916538
bounce,0.0023762441252011064,0.00521959248154405
bound,0.0,0.0016302122469675265
bow,0.00356436618780166,0.0005799547201715611
brace,0.0016698641031585818,0.0
brag,0.0,0.0008151061234837633
brand,0.0016698641031585818,0.0
brandish,0.0023762441252011064,0.0005799547201715611
brave,0.0011881220626005532,0.0011599094403431222
break,0.020198075064209405,0.02667791712789181
breakfast,0.0016698641031585818,0.0
breathe,0.00356436618780166,0.008699320802573416
breed,0.0,0.0008151061234837633
bribe,0.0011881220626005532,0.0005799547201715611
bridge,0.0,0.0008151061234837633
brighten,0.0011881220626005532,0.0005799547201715611
bring,0.03920802806581826,0.03885696625149459
bristle,0.0011881220626005532,0.0023198188806862444
broach,0.0016698641031585818,0.0
broadcast,0.0011881220626005532,0.0005799547201715611
broil,0.0016698641031585818,0.0
bronze,0.0,0.0008151061234837633
brood,0.0,0.0040755306174188165
browbeat,0.0,0.0008151061234837633
bruise,0.0011881220626005532,0.0023198188806862444
brush,0.00712873237560332,0.007539411362230294
bubble,0.0011881220626005532,0.0011599094403431222
buck,0.0011881220626005532,0.0005799547201715611
buckle,0.0,0.0040755306174188165
bud,0.0,0.0008151061234837633
budge,0.0,0.0008151061234837633
buffet,0.0016698641031585818,0.0
bug,0.0,0.003260424493935053
build,0.00712873237560332,0.013338958563945905
bulge,0.0,0.0024453183704512896
bulk,0.0,0.0008151061234837633
bump,0.0011881220626005532,0.0017398641605146832
bunch,0.0,0.0008151061234837633
bungle,0.0,0.0008151061234837633
buoy,0.0,0.0008151061234837633
burn,0.010693098563404979,0.01623873216480371
burrow,0.0,0.0008151061234837633
burst,0.008316854438203873,0.00521959248154405
bury,0.0023762441252011064,0.0005799547201715611
bushwhack,0.0,0.0008151061234837633
bust,0.0,0.0024453183704512896
buy,0.010693098563404979,0.011599094403431221
buzz,0.004752488250402213,0.0005799547201715611
cackle,0.0,0.0016302122469675265
cage,0.0016698641031585818,0.0
